country,country_long,name,gppd_idnr,capacity_mw,latitude,longitude,primary_fuel,other_fuel1,other_fuel2,other_fuel3,commissioning_year,owner,source,url,geolocation_source,wepp_id,year_of_capacity_data,generation_gwh_2013,generation_gwh_2014,generation_gwh_2015,generation_gwh_2016,generation_gwh_2017,estimated_generation_gwh
USA,United States of America,Kankakee Gas Recovery,USA0054659,1.6,41.0333,-87.8678,Waste,,,,1992,WM Illinois Renewable Energy LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017,10.166,8.869,7.875,6.781,5.423,
USA,United States of America,Kankakee Hydro Facility,USA0054525,1.2,41.1128,-87.8681,Hydro,,,,1991,Kankakee City of,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,16485,2017,1.751,2.843,1.52,1.443,1.547,
USA,United States of America,Kanoelehua,USA0000769,21,19.7052,-155.0625,Oil,,,,1965.809524,Hawaii Electric Light Co Inc,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,21879,2017,1.972,1.164,1.266,0.756,0.209,
USA,United States of America,Kansas City International,USA0006144,36,39.2973,-94.6932,Gas,Oil,,,1977,KCP&L Greater Missouri Operations Co,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017,,,,,,253.6368908
USA,United States of America,Kansas River Project,USA0010279,7,38.974,-95.2351,Hydro,,,,1982.057143,Bowersock Mills & Power Co,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017,14.518,16.214,18.963,30.538,29.218,
USA,United States of America,KapStone Kraft Paper Corp,USA0050254,28.3,36.4769,-77.6414,Biomass,Coal,Oil,Gas,1966,KapStone Kraft Paper Corp,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017,191.366443,195.101724,0,0,195.893489,
USA,United States of America,Kapaa Photovoltaic Project,USA0057525,1,22.0804,-159.3316,Solar,,,,2011,Kapaa Solar LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017,1.88496,1.80675,1.85724,1.87,1.909,
USA,United States of America,Kapaia Power Station,USA0056258,39.1,21.9965,-159.3758,Other,Oil,,,2002,Kauai Island Utility Cooperative,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,38291,2017,0,0,0,182.128001,185.154996,
USA,United States of America,Kapolei Solar Energy Park,USA0058684,1,21.3211,-158.1175,Solar,,,,2012,Forest City Sustainable Resources Pearl City LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017,1.899,1.94,1.938,1.973,1.886,
USA,United States of America,Kapstone,USA0007737,99.2,32.9,-79.9667,Waste,Coal,Oil,Biomass,1999,South Carolina Electric&Gas Company,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017,564.473,573.30201,536.196,520.909,508.362,
USA,United States of America,Karen Avenue Wind Farm,USA0010718,11.7,33.9219,-116.5622,Wind,,,,1985,San Gorgonio Farms Inc,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,19413,2017,28.584,23.329,28.552,27.156,26.991,
USA,United States of America,Kas Brothers Windfarm,USA0055809,1.5,44.0119,-96.1125,Wind,,,,2002,Kas Brothers Windfarm LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017,3.524,3.999,3.11,3.684,3.736,
USA,United States of America,Kasidaya Creek Hydro,USA0056542,3,59.4072,-135.3408,Hydro,,,,2008,Alaska Power and Telephone Co,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,61936,2017,7.405,8.64,8.638,7.123,9.87,
USA,United States of America,Kasigluk,USA0057066,2,60.8731,-162.5197,Oil,,,,2010.1,Alaska Village Elec Coop  Inc,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,62180,2017,2.439,2.626,0,0,2.962,
USA,United States of America,Katama Farm,USA0059079,1,41.3611,-70.5169,Solar,,,,2014,CF CVEC Owner One LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,67797,2017,,0.793,1.581,1.661,0.9,
USA,United States of America,Kaukauna City Hydro,USA0007822,4.8,44.2746,-88.3191,Hydro,,,,1941.5,City of Kaukauna,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,23873,2017,34.19,36.576,34.332,38.799,39.436,
