country,country_long,name,gppd_idnr,capacity_mw,latitude,longitude,primary_fuel,commissioning_year,owner,source,url,geolocation_source,wepp_id,year_of_capacity_data,generation_gwh_2013,generation_gwh_2014,generation_gwh_2015,generation_gwh_2016,generation_gwh_2017
USA,United States of America,Jack River LLC,USA0055565,1.9,44.4233,-96.4411,Wind,2001,CHI Operations Inc,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017,5.251,6.06,5.733,4.838,5.143
USA,United States of America,Javelina Wind Energy  LLC,USA0060104,249.7,27.32,-99,Wind,2016,Javelina Wind Energy  LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,70247,2017,,,56.434,912.017,946.436
USA,United States of America,Javelina Wind Energy II  LLC,USA0060645,200,27.44,-98.91,Wind,2016,Javelina Wind Energy II  LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,70247,2017,,,,69.982,772.358
USA,United States of America,Jeffers Wind 20 LLC,USA0056750,50,44.0578,-95.2525,Wind,2008,NRG Energy Gas & Wind Holdings Inc,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,55182,2017,160.652,174.721,173.212,171.204,163.344
USA,United States of America,Jericho Power,USA0059070,14.3,44.4669,-71.225,Wind,2016,Jericho Power LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017,,,,26.485,26.511
USA,United States of America,Jericho Rise Wind Farm LLC,USA0059629,77.7,44.8889,-74.1033,Wind,2017,Jericho Rise Wind Farm LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,68724,2017,,,,15.32,245.299
USA,United States of America,Jersey-Atlantic Wind Farm,USA0056300,7.5,39.3822,-74.4475,Wind,2006,Leeward Asset Management  LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,55018,2017,10.877,20.834,20.328,20.131,21.534
USA,United States of America,Jessica Mills LLC,USA0055564,1.9,44.4278,-96.43,Wind,2001,CHI Operations Inc,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017,5.087,5.707,5.843,5.44,5.08
USA,United States of America,Jett Creek Windfarm (Burnt River),USA0059490,10,44.425,-117.2739,Wind,2017,Jett Creek,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017,,,,,22.829
USA,United States of America,Judith Gap Wind Energy Center,USA0056377,135,46.5725,-109.7531,Wind,2006,Invenergy Services LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,54043,2017,507.969,489.637,455.35,481.097,450.729
